Facility.Type,Facility_Name,Facility.Address,subsidized_child_care?,Licensee,City,Latitude,Longitude,Capacity,Status,License_first_date,Closed_date,Facility_code,License_yearmon,Closed_yearmon,X.44
DAY CARE CENTER,KIDS FIRST LEARNING CENTER - DOWNEY,13200 COLUMBIA AVENUE,y,"EBEN-EZER CHILDREN'S DAY CARE, INC.",DOWNEY,33.911778,-118.1337008,144,Licensed,4/29/10,,1,10-Apr,,1852
SCHOOL AGE DAY CARE CENTER,"KIDZCITY, INC.",20841 VENTURA BLVD.,,"KIDZCITY,INC.",WOODLAND HILLS,34.1667239,-118.5872395,30,Closed,6/4/14,5/20/15,2,14-Jun,15-May,4470
DAY CARE CENTER,KINDER KOUNTRY ACADEMY,456 W. SAN JOSE AVE #B,n,LUCY SALAZAR,CLAREMONT,34.082284,-117.7215731,27,Licensed,2/29/12,,1,12-Feb,,1877
SCHOOL AGE DAY CARE CENTER,KINDER KOUNTRY ACADEMY,456 W. SAN JOSE AVE.  #B,n,LUCY SALAZAR,CLAREMONT,34.082284,-117.7215731,12,Licensed,2/29/12,,1,12-Feb,,4474
DAY CARE CENTER,KINDER PREP PRESCHOOL CENTER,3208 FLOWER STREET,n,MARIE JOHNSON,LYNWOOD,33.9251951,-118.2142943,26,Licensed,7/17/06,,1,6-Jul,,1879
DAY CARE CENTER,KINDERCARE LEARNING CENTER,17730 RINALDI,n,"KINDERCARE LEARNING CENTER,LLC.",GRANADA HILLS,34.2791062,-118.5211231,96,Licensed,7/15/97,,1,Jul-97,,1887
INFANT CENTER,KINDERCARE LEARNING CENTER,17730 RINALDI,n,"KINDERCARE LEARNING CENTER,LLC.",GRANADA HILLS,34.2791062,-118.5211231,24,Licensed,7/15/97,,1,Jul-97,,3939
SCHOOL AGE DAY CARE CENTER,KINDERCARE LEARNING CENTER,17730 RINALDI,n,"KINDERCARE LEARNING CENTER, LLC",GRANADA HILLS,34.2791062,-118.5211231,12,Licensed,7/15/97,,1,Jul-97,,4475
DAY CARE CENTER,KINDERCARE LEARNING CENTER,25940 NORTH THE OLD ROAD,,"KINDERCARE LEARNING CENTERS, LLC.",STEVENSON'S RANCH,34.3931022,-118.5726434,118,Closed,8/25/99,5/31/13,2,Aug-99,13-May,1889
INFANT CENTER,KINDERCARE LEARNING CENTER,25940 NORTH THE OLD ROAD,,"KINDERCARE LEARNING CENTERS, LLC.",STEVENSON RANCH,34.3931022,-118.5726434,36,Closed,8/25/99,5/31/13,2,Aug-99,13-May,3942
SCHOOL AGE DAY CARE CENTER,KINDERCARE LEARNING CENTER,25940 NORTH THE OLD ROAD,,"KINDERCARE LEARNING CENTERS, LLC.",STEVENSON'S RANCH,34.3931022,-118.5726434,39,Closed,8/25/99,5/31/13,2,Aug-99,13-May,4479
DAY CARE CENTER,KOL TIKVAH PRESCHOOL,20400 VENTURA BLVD.,n,KOL TIKVAH,WOODLAND HILLS,34.168631,-118.5765247,99,Licensed,6/11/96,,1,Jun-96,,1916
DAY CARE CENTER,LA CANADA UNITED METHODIST CHILDREN'S CENTER,104 BERKSHIRE PLACE,n,LA CANADA UNITED METHODIST CHURCH,LA CANADA,34.188842,-118.179544,35,Licensed,10/18/89,,1,Oct-89,,1926
DAY CARE CENTER,LA MIRADA HEAD START,5637 LA MIRADA AVE.,n,FOUNDATION FOR EARLY CHILDHOOD EDUCATION,LOS ANGELES,34.0939638,-118.3122599,75,Licensed,11/21/94,,1,Nov-94,,1935
DAY CARE CENTER,LA TIJERA METHODIST CHURCH,7400 OSAGE AVE,n,LA TIJERA METHODIST CHURCH,LOS ANGELES,33.9702834,-118.378087,40,Licensed,10/22/93,,1,Oct-93,,1944
INFANT CENTER,LA TIJERA UNITED METHODIST CENTER FOR CHILDREN,7400 OSAGE AVENUE,n,LA TIJERA UNITED METHODIST CHURCH,LOS ANGELES,33.9702834,-118.378087,48,Licensed,9/7/90,,1,Sep-90,,3961
SCHOOL AGE DAY CARE CENTER,LA TIJERA UNITED METHODIST CHURCH,7400 OSAGE AVENUE,n,LA TIJERA UNITED METHODIST CHURCH,LOS ANGELES,33.9702834,-118.378087,19,Licensed,9/22/89,,1,Sep-89,,4504
DAY CARE CENTER,"LAKE AVENUE CHURCH NURSERY SCHOOL, THE",393 N LAKE AVE,n,LAKE AVE CONGREGATIONAL CHURCH,PASADENA,34.1526294,-118.13292,181,Licensed,9/15/95,,1,Sep-95,,1956
DAY CARE CENTER,LAS FLORES PRESCHOOL,1075 S. EASTMAN AVENUE,y,INTERNATIONAL INSTITUTE OF LOS ANGELES,LOS ANGELES,34.0206242,-118.1863447,22,Licensed,5/5/08,,1,8-May,,1975
DAY CARE CENTER,LE LYCEE FRANCAIS DE LOS ANGELES,3055 OVERLAND AVENUE,n,LE LYCEE FRANCAIS DE LOS ANGELES,LOS ANGELES,34.0311961,-118.4171123,65,Licensed,3/9/98,,1,Mar-98,,1990
DAY CARE CENTER,LEO BAECK TEMPLE EARLY CHILDHOOD CENTER,1300 N SEPULVEDA BLVD.,n,LEO BAECK TEMPLE,LOS ANGELES,34.0878604,-118.4741647,45,Licensed,7/24/95,,1,Jul-95,,2014
INFANT CENTER,LES INFANT INC. INFANT CENTER,2702 VIRGINIA AVENUE,n,LES ENFANTS INC. PRESCHOOL,SANTA MONICA,34.0256075,-118.463474,32,Licensed,12/13/04,,1,4-Dec,,3971
DAY CARE CENTER,LES INFANTS INC. PRESCHOOL,2702 VIRGINIA AVENUE,n,LES ENFANTS INC. PRESCHOOL,SANTA MONICA,34.0256075,-118.463474,37,Licensed,6/25/99,,1,Jun-99,,2016
DAY CARE CENTER,"LIGHTED WINDOW PRESCHOOL, INC.",1200 FOOTHILL BLVD.,n,"LIGHTED WINDOW PRESCHOOL, INC.",LA CANADA,34.206306,-118.205696,103,Licensed,12/8/98,,1,Dec-98,,2026
DAY CARE CENTER,LITTLE SHEPHERD'S LEARNING CENTER,19700 RINALDI ST.,n,FIRST BAPTIST CHURCH OF VAN NUYS,PORTER RANCH,34.274072,-118.5633472,109,Licensed,3/16/93,,1,Mar-93,,2085
INFANT CENTER,LITTLE SHEPHERD'S LEARNING CENTER,19700 RINALDI ST.,n,FIRST BAPTIST CHURCH OF VAN NUYS,PORTER RANCH,34.274072,-118.5633472,24,Licensed,3/16/93,,1,Mar-93,,3984
DAY CARE CENTER,LORENA ELEMENTARY SCHOOL CSPP - ROOM 21,1015 SOUTH LORENA STREET,,LOS ANGELES UNIFIED SCHOOL DISTRICT,LOS ANGELES,34.0255353,-118.2027271,24,Closed,,9/28/11,2,,11-Sep,2129
DAY CARE CENTER,LORENA TERRACE ALEGRIA PRESCHOOL,611-619 S. LORENA ST. #C-104,y,INTERNATIONAL INSTITUTE OF LOS ANGELES,LOS ANGELES,34.0305865,-118.1994089,18,Licensed,5/19/08,,1,8-May,,2130
DAY CARE CENTER,LOS ALTOS BRETHREN CHURCH,6565 STEARNS ST,n,LOS ALTOS BRETHREN CHURCH,LONG BEACH,33.7957572,-118.1043958,84,Licensed,9/15/94,,1,Sep-94,,2132
DAY CARE CENTER,LOS ALTOS UNITED METHODIST PRESCHOOL,5950 E WILLOW ST,n,LOS ALTOS UNITED METHODIST PRESCHOOL,LONG BEACH,33.8028201,-118.1154366,50,Licensed,9/16/93,,1,Sep-93,,2134
DAY CARE CENTER,LOS ANGELES UNIFIED SCHOOL DISTRICT SUBSTITUTES,"333 S. BEAUDRY AVE 17TH FLOOR,",n,LAUSD/EARLY CHILDHOOD EDUCATION,LOS ANGELES,34.0562369,-118.2573621,100,Licensed,1/2/89,,1,Jan-89,,2148
DAY CARE CENTER,LOS FELIZ NURSERY SCHOOL,3401 RIVERSIDE DR,n,"LOS FELIZ COOPERATIVE NURSERY SCHOOL, INC",LOS ANGELES,34.1166892,-118.2703285,28,Licensed,4/6/93,,1,Apr-93,,2152
DAY CARE CENTER,MAOF CHILD CARE CENTER TELEGRAPH,4457 TELEGRAPH ROAD,n,MEXICAN AMERICAN OPPORTUNITY FOUNDATION,LOS ANGELES,34.0184683,-118.1752152,142,Licensed,6/13/95,,1,Jun-95,,2229
DAY CARE CENTER,MAOF CHILD CARE CENTER-FORD,330 SOUTH FORD BLVD.,y,MEXICAN AMERICAN OPPORTUNITY FOUNDATION,LOS ANGELES,34.03251,-118.168779,88,Licensed,3/20/95,,1,Mar-95,,2223
DAY CARE CENTER,MAPLE TREE,11916 PICO BLVD.,n,MAPLE TREE ACADEMY LLC,LOS ANGELES,34.0297986,-118.4486846,30,Licensed,9/26/14,,1,14-Sep,,2250
INFANT CENTER,MAPLE TREE,11916 PICO BLVD.,n,MAPLE TREE ACDEMY LLC,LOS ANGELES,34.0297986,-118.4486846,39,Licensed,9/26/14,,1,14-Sep,,4004
DAY CARE CENTER,MARCIA'S CHILD DEVELOPMENT CENTER,2437 S BURNSIDE AVE,,"HEADLEY, JOHN",LOS ANGELES,34.0347269,-118.35982,20,Closed,7/30/91,2/4/15,2,Jul-91,15-Feb,2254
DAY CARE CENTER,MARLOW PARK CHILD DEVELOPMENT CENTER,6626 MARLOW ST.,n,COALICION DE LATINO AMERICANOS,BELL GARDENS,33.9723459,-118.1664602,48,Licensed,4/10/02,,1,2-Apr,,2264
DAY CARE CENTER,MARVIN AVENUE EARLY EDUCATION CENTER,2341 SOUTH CURSON,n,LAUSD/EARLY CHILDHOOD EDUCATION,LOS ANGELES,34.0357618,-118.3651473,162,Licensed,3/3/95,,1,Mar-95,,2267
INFANT CENTER,MCDC INFANT DEVELOPMENT CENTER,2437 1/2 BURNSIDE AVE.,,"HEADLEY, JOHN A.",LOS ANGELES,34.0347269,-118.35982,14,Closed,9/4/92,2/4/15,2,Sep-92,15-Feb,4017
DAY CARE CENTER,MCKINLEY MONTESSORI ACADEMY,217 E. MCKINLEY AVENUE,y,MONTESSORI ASSOCIATION OF COVINA,POMONA,34.07438,-117.748974,54,Licensed,6/29/12,,1,12-Jun,,2291
INFANT CENTER,MCKINLEY MONTESSORI ACADEMY,217 E. MCKINLEY AVENUE,y,MONTESSORI ASSOCIATION OF COVINA,POMONA,34.07438,-117.748974,11,Licensed,8/28/13,,1,13-Aug,,4018
DAY CARE CENTER,MENTOR AVENUE PRESCHOOL,308 NORTH MENTOR AVENUE,n,GERMAN JOSE L. SALCEDO,PASADENA,34.151153,-118.130464,30,Licensed,9/3/13,,1,13-Sep,,2305
DAY CARE CENTER,MISSION KIDZ CHILD CARE CENTER,415 W. TORRANCE BLVD.,n,MISSION KIDZ CHILD CARE CENTER,CARSON,33.8423108,-118.2844463,50,Licensed,5/13/11,,1,11-May,,2325
DAY CARE CENTER,MONTESSORI OF STEVENSON RANCH,25940 THE OLD ROAD,n,"MONTESSORI OF STEVENSON RANCH, INC.",STEVENSON RANCH,34.3931022,-118.5726434,188,Licensed,12/20/13,,1,13-Dec,,2365
INFANT CENTER,MONTESSORI OF STEVENSON RANCH,25940 THE OLD ROAD,n,"MONTESSORI OF STEVENSON RANCH, INC.",STEVENSON RANCH,34.3931022,-118.5726434,30,Licensed,12/20/13,,1,13-Dec,,4030
DAY CARE CENTER,MONTESSORI ON THE BOULEVARD,19414 VENTURA BOULEVARD,n,CANLAK CORP.,TARZANA,34.1724318,-118.5563575,72,Licensed,4/12/11,,1,11-Apr,,2370
INFANT CENTER,MONTESSORI ON THE BOULEVARD- INFANT,19414 VENTURA BOULEVARD,n,CALNAK CORP.,TARZANA,34.1724318,-118.5563575,15,Licensed,4/12/11,,1,11-Apr,,4035
DAY CARE CENTER,MONTESSORI SCHOOL OF DIAMOND BAR,3201 S. BREA CANYON ROAD,n,LEGACY BIZ INC.,DIAMOND BAR,33.9696249,-117.8470726,74,Licensed,12/14/04,,1,4-Dec,,2374
DAY CARE CENTER,NORTH HOLLYWOOD ADULT LEARNING CTR/STATE PRESCHOOL,10952 WHIPPLE STREET RM. 6,n,LAUSD/EARLY CHILDHOOD EDUCATION,NORTH HOLLYWOOD,34.1473768,-118.3684456,26,Licensed,3/1/99,,1,Mar-99,,2477
DAY CARE CENTER,NORTH TORRANCE DAY CARE CENTER,2806 WEST 182ND STREET,n,ISABEL CURRIE,TORRANCE,33.8652715,-118.3238844,81,Licensed,10/6/93,,1,Oct-93,,2480
INFANT CENTER,NORTH TORRANCE INFANT CARE CENTER,2806 W. 182ND STREET,n,"CURRIE, ISABEL & RITCHIE, KIMBERLY",TORRANCE,33.8652715,-118.3238844,32,Licensed,2/6/07,,1,7-Feb,,4052
SCHOOL AGE DAY CARE CENTER,NORTH TORRANCE SCHOOL AGE CENTER,2806 W. 182ND STREET,n,"CURRIE, ISABEL",TORRANCE,33.8652715,-118.3238844,30,Licensed,2/2/93,,1,Feb-93,,4580
DAY CARE CENTER,OPEN DOOR ENRICHMENT CENTER,132 E. ARTESIA BOULEVARD,,GREATER OPEN DOOR CHURCH OF GOD IN CHRIST,LONG BEACH,33.8739546,-118.2012264,39,Closed,7/9/93,7/2/13,2,Jul-93,13-Jul,2519
DAY CARE CENTER,PACE HEAD START-CHRISTIAN FELLOWSHIP,2085 SO. HOBART,n,PACIFIC ASIAN CONSORTIUM IN EMPLOYMENT,LOS ANGELES,34.038125,-118.307535,41,Licensed,10/15/97,,1,Oct-97,,2624
DAY CARE CENTER,PACIFIC CLINICS GLENDALE AVENUE HEAD START,610 N. GLENDALE AVENUE,y,PACIFIC CLINICS,GLENDALE,34.1551265,-118.2423307,85,Licensed,8/1/13,,1,13-Aug,,2628
DAY CARE CENTER,PARA LOS NINOS EAST LOS ANGELES CHILD DEVELOPMENT,4824 CIVIC CENTER WAY,y,PARA LOS NINOS,LOS ANGELES,34.0351107,-118.1611309,88,Licensed,6/24/09,,1,9-Jun,,2669
DAY CARE CENTER,PARENTS AND CHILDREN'S NURSERY SCHOOL,4603 INDIANOLA WAY,n,"PARENTS AND CHILDREN'S NURSERY SCHOOL, INCORPORATE",LA CANADA,34.2016291,-118.1910157,80,Licensed,3/20/93,,1,Mar-93,,2676
DAY CARE CENTER,PARK PLACE HEAD START,2630 EAST 7TH STREET,y,"FOUNDATION FOR EARLY CHILDHOOD EDUCATION, INC.",LOS ANGELES,34.0311062,-118.214822,55,Licensed,9/1/09,,1,9-Sep,,2682
DAY CARE CENTER,"PLAY HOUSE, THE",1301 W. 12TH STREET,,"CHILDREN TODAY, INC",LONG BEACH,33.782014,-118.2090441,18,Closed,6/14/00,4/27/12,2,Jun-00,12-Apr,2754
INFANT CENTER,"PLAY HOUSE, THE",1301 W. 12TH STREET,,CHILDREN TODAY INC,LONG BEACH,33.782014,-118.2090441,17,Closed,6/14/00,4/27/12,2,Jun-00,12-Apr,4088
DAY CARE CENTER,PRESTIGE PRESCHOOL ACADEMY,520 W. BASELINE AVENUE,n,"PRESTIGE PRESCHOOLS, INC.",CLAREMONT,34.1210311,-117.7226516,132,Licensed,8/30/06,,1,6-Aug,,2781
INFANT CENTER,PRESTIGE PRESCHOOL ACADEMY,520 W. BASELINE AVENUE,n,"PRESTIGE PRESCHOOLS, INC.",CLAREMONT,34.1210311,-117.7226516,26,Licensed,8/30/06,,1,6-Aug,,4093
SCHOOL AGE DAY CARE CENTER,PRESTIGE PRESCHOOL ACADEMY,520 W. BASELINE AVENUE,n,"PRESTIGE PRESCHOOLS, INC.",CLAREMONT,34.1210311,-117.7226516,47,Licensed,8/30/06,,1,6-Aug,,4646
DAY CARE CENTER,RAMONA GARDEN HEAD START,2830 LANCASTER AVENUE,n,"FOUNDATION FOR EARLY CHILDHOOD EDUCATION, INC.",LOS ANGELES,34.0568151,-118.1949337,27,Licensed,10/11/10,,1,10-Oct,,2810
DAY CARE CENTER,ROSEMONT EARLY EDUCATION CENTER,430 NORTH ROSEMONT AVENUE,n,LAUSD/EARLY CHILDHOOD EDUCATION,LOS ANGELES,34.0718328,-118.2696415,119,Licensed,1/19/95,,1,Jan-95,,2861
DAY CARE CENTER,SAGA CHILD DEVELOPMENT LEARNING ACADEMY INC.,3801 CORTLAND STREET,n,SAGA CHILD DEVELOPMENT LEARNING ACADEMY INC.,LYNWOOD,33.9225745,-118.2011358,38,Licensed,4/23/13,,1,13-Apr,,2871
DAY CARE CENTER,"SALVATION ARMY BESSIE PREGERSON CHILDCARE, THE",1341 SOUTH SEPULVEDA,n,"SALVATION ARMY, THE",LOS ANGELES,34.0534917,-118.4496618,60,Licensed,6/24/11,,1,11-Jun,,2883
DAY CARE CENTER,SALVIN - PACE HEAD START,1925 S. BUDLONG AVENUE,,TOMMIE BENTON,LOS ANGELES,34.037974,-118.296792,30,Closed,8/26/09,6/23/11,2,9-Aug,11-Jun,2889
DAY CARE CENTER,SANTA CLARITA PRESCHOOL & INFANT CENTER,25022 N. HAWKBRYN AVENUE,,"WAISBERG, MARINA",NEWHALL,34.372243,-118.560292,52,Closed,9/25/03,9/1/11,2,3-Sep,11-Sep,2920
INFANT CENTER,SANTA CLARITA PRESCHOOL & INFANT CENTER,25022 N. HAWKBRYN AVENUE,,"WAISBERG, MARINA",NEWHALL,34.372243,-118.560292,19,Closed,9/25/03,9/1/11,2,3-Sep,11-Sep,4114
DAY CARE CENTER,SHARP ELEMENTARY SCHOOL CSPP,13800 PIERCE STREETROOM #6,,LAUSD/EARLY CHILDHOOD EDUCATION,ARLETA,34.252292,-118.432521,21,Closed,9/10/09,12/12/13,2,9-Sep,13-Dec,2963
SCHOOL AGE DAY CARE CENTER,SOARING EAGLES - STAGG SUPERSTARS,7839 AMESTOY AVENUE,,"HARTER, MICAH",LAKE BALBOA,34.1708634,-118.5055698,60,Closed,8/4/14,10/13/14,2,14-Aug,14-Oct,371
DAY CARE CENTER,SOTO HEAD START PRESCHOOL,2616 E. 7TH ST.,n,"FOUNDATION FOR EARLY CHILDHOOD EDUCATION, INC.",LOS ANGELES,34.0311946,-118.2152013,60,Licensed,,,1,,,3020
DAY CARE CENTER,SOTO STREET EARLY EDUCATION CENTER,2616 EAST SEVENTH STREET,,LAUSD/EARLY CHILDHOOD EDUCATION,LOS ANGELES,34.0311946,-118.2152013,66,Closed,,8/14/14,2,,14-Aug,3021
DAY CARE CENTER,ST. ANTHONY SCHOOL PRESCHOOL,631 E. SAXON,n,ST. ANTHONY CATHOLIC SCHOOL,SAN GABRIEL,34.0732566,-118.0914212,53,Licensed,1/13/99,,1,Jan-99,,3097
DAY CARE CENTER,ST. PAUL'S LUTHERAN CHURCH & PRESCHOOL,2283 PALO VERDE AVENUE,n,ST. PAUL'S LUTHERAN CHURCH,LONG BEACH,33.7989571,-118.1082618,69,Licensed,12/20/00,,1,Dec-00,,3136
DAY CARE CENTER,STAR CHRISTIAN SCHOOL,2120 ESTRELLA AVENUE,n,STAR CHRISTIAN SCHOOL INC.,LOS ANGELES,34.0324877,-118.2759117,103,Licensed,9/25/04,,1,4-Sep,,3062
DAY CARE CENTER,STATE STREET HEAD START,716 N. STATE ST.,,"FOUNDATION FOR EARLY CHILDHOOD EDUCATION, INC.",LOS ANGELES,34.0529669,-118.2127917,17,Closed,8/24/95,6/30/15,2,Aug-95,15-Jun,3068
DAY CARE CENTER,SUIKA PRESCHOOL,2706 W. 182ND STREET,n,"SUIKA EDUCATION, INC.",TORRANCE,33.8648598,-118.3234984,90,Licensed,8/24/93,,1,Aug-93,,3146
INFANT CENTER,TEMPLE AHAVAT SHALOM EARLY CHILDHOOD EDU. CTR.,18200 RINADI PLACE,n,TEMPLE AHAVAT SHALOM EARLY CHILDHOOD EDU CTR,NORTHRIDGE,34.2763365,-118.5295614,12,Pending,,,4,,,4141
DAY CARE CENTER,TEMPLE AHAVAT SHALOM EARLY CHILDHOOD EDUCATION CT.,18200 RINALDI PLACE,n,TEMPLE AHAVAT SHALOM,NORTHRIDGE,34.2763365,-118.5295614,117,Licensed,8/18/93,,1,Aug-93,,3189
DAY CARE CENTER,TEMPLE BETH HILLEL NURSERY SCHOOL,12326 RIVERSIDE DRIVE,n,TEMPLE BETH HILLEL,NORTH HOLLYWOOD,34.1572194,-118.4016699,93,Licensed,8/21/93,,1,Aug-93,,3196
DAY CARE CENTER,TUTOR TIME CHILD CARE LEARNING CENTERS,5108 CLARETON DRIVE,,"LITTLE SCHOLARS, INC.",AGOURA HILLS,34.1460726,-118.753398,133,Closed,2/11/02,1/15/15,2,2-Feb,15-Jan,3296
INFANT CENTER,TUTOR TIME CHILD CARE LEARNING CENTERS,5108 CLARETON DRIVE,,"LITTLE SCHOLARS, INC.",AGOURA HILLS,34.1460726,-118.753398,46,Closed,2/11/02,1/28/15,2,2-Feb,15-Jan,4165
DAY CARE CENTER,TUTOR TIME CHILD CARE/LEARNING CENTER,29421 THE OLD ROAD,n,"TUTOR TIME LEARNING CENTERS, LLC",CASTAIC,34.4517099,-118.6162355,120,Licensed,3/6/07,,1,7-Mar,,3299
INFANT CENTER,TUTOR TIME CHILD CARE/LEARNING CENTER,29421 THE OLD ROAD,n,"TUTOR TIME LEARNING CENTERS, LLC",CASTAIC,34.4517099,-118.6162355,20,Licensed,3/6/07,,1,7-Mar,,4166
SCHOOL AGE DAY CARE CENTER,TUTOR TIME CHILD CARE/LEARNING CENTER,29421 THE OLD ROAD,n,"TUTOR TIME LEARNING CENTERS, LLC",CASTAIC,34.4517099,-118.6162355,52,Licensed,3/6/07,,1,7-Mar,,4759
DAY CARE CENTER,TUTOR TIME LEARNING CENTER,5108 CLARETON,n,"TUTOR TIME LEARNING CENTERS, LLC",AGOURA HILLS,34.1460726,-118.753398,118,Licensed,1/15/15,,1,15-Jan,,3303
INFANT CENTER,TUTOR TIME LEARNING CENTER,5108 CLARETON,n,"TUTOR TIME LEARNING CENTERS, LLC",AGOURA HILLS,34.1460726,-118.753398,46,Licensed,1/28/15,,1,15-Jan,,4170
DAY CARE CENTER,UCLA EARLY CARE & EDUC. UNI. VILLAGE C.C.C.,3233 SEPULVEDA BLVD.,n,REGENTS OF UNIVERSITY OF CALIF.,LOS ANGELES,34.0233659,-118.4263464,90,Licensed,8/2/96,,1,Aug-96,,3310
INFANT CENTER,UCLA EARLY CARE & EDUC. UNI. VILLAGE C.C.C.,3233 SEPULVEDA BLVD.,n,REGENTS OF UNIVERSITY OF CALIF.,LOS ANGELES,34.0233659,-118.4263464,25,Licensed,8/2/96,,1,Aug-96,,4172
DAY CARE CENTER,UNIVERSITY PARENT'S NURSERY SCHOOL - UPNS,3233 S. SEPULVEDA BLVD.,n,UNIVERSITY PARENT'S NURSERY SCHOOL - UPNS,LOS ANGELES,34.0233659,-118.4263464,60,Licensed,8/2/96,,1,Aug-96,,3331
DAY CARE CENTER,UNLICENSED,10844 ACAMA STREET,,UNLICENSED,NORTH HOLLYWOOD,34.1457465,-118.3671504,0,Closed,,3/27/12,2,,12-Mar,3333
DAY CARE CENTER,UNLICENSED,522 W. HUNTINGTON DR,,C-TWO EDUCATIONAL CENTER,MONROVIA,34.1381554,-118.0106628,0,Closed,,2/4/15,2,,15-Feb,3340
SCHOOL AGE DAY CARE CENTER,UNLICENSED,3207A S. BREA CANYON RD,,EPITOME ACADEMY,DIAMOND BAR,33.9686713,-117.847301,0,Closed,,6/8/15,2,,15-Jun,4766
DAY CARE CENTER,VEJAR/CHILD DEVELOPMENT CENTER,1381 SOUTH WHITE AVE.,y,POMONA UNIFIED SCHOOL DISTRICT CHILD DEVELOPMENT,POMONA,34.0726314,-117.759288,72,Licensed,10/29/91,,1,Oct-91,,288
DAY CARE CENTER,VISION KIDS PRESCHOOL,19514 RINALDI STREET,,WORLD VISION CHURCH,NORTHRIDGE,34.273818,-118.560334,98,Closed,4/6/10,5/30/14,2,10-Apr,14-May,3420
SCHOOL AGE DAY CARE CENTER,VISION KIDS PRESCHOOL- SCHOOL-AGE,19514 RINALDI STREET,,WORLD VISION CHURCH,NORTHRIDGE,34.273818,-118.560334,49,Closed,7/27/10,3/4/14,2,10-Jul,14-Mar,4777
SCHOOL AGE DAY CARE CENTER,VISTA DEL MAR CHILD AND FAMILY SERVICES,3200 MOTOR AVENUE,,"ROPER, BRIAN PH.D.,M.S. CCC-SLP",LOS ANGELES,34.0314722,-118.4104764,15,Closed,,3/21/14,2,,14-Mar,4779
DAY CARE CENTER,VOA/ROBERT F. KENNEDY,334 FIGUEROA STREET,n,VOLUNTEERS OF AMERICA OF LOS ANGELES,WILMINGTON,33.773023,-118.278317,35,Licensed,9/21/04,,1,4-Sep,,3443
DAY CARE CENTER,VOALA LITTLE STEPS HEAD START,12331 VANOWEN STREET,n,VOLUNTEERS OF AMERICA OF LOS ANGELES,NORTH HOLLYWOOD,34.1942749,-118.401412,37,Licensed,8/31/06,,1,6-Aug,,3433
DAY CARE CENTER,"VOLUNTEERS OF AMERICA, HUMPHREYS HEAD START",211 N. HUMPHREYS AVENUE,n,VOLUNTEERS OF AMERICA OF LOS ANGELES,LOS ANGELES,34.0381325,-118.1715419,15,Licensed,7/13/07,,1,7-Jul,,3455
DAY CARE CENTER,WEINGART ELA YMCA - SUNRISE PRESCHOOL SITE,2821 EAST 7TH STREET,n,YMCA OF METROPOLITAN LOS ANGELES,LOS ANGELES,34.0295897,-118.210267,22,Licensed,5/7/10,,1,10-May,,3506
DAY CARE CENTER,WEST COVINA EDUCATION CENTER INC.,2009 WEST GARVEY AVE.,,WEST COVINA EDUCATION CENTER INCORPORATED,WEST COVINA,34.0722805,-117.9478826,118,Closed,4/6/89,7/31/14,2,Apr-89,14-Jul,3509
DAY CARE CENTER,"WILLIAM HANNON PRE-K OF ST. JEROME SCHOOL, THE",5580 THORNBURN ST.,n,ARCHDIOCESE OF L. A. DEPT. OF CATHOLIC SCHOOLS,LOS ANGELES,33.9734785,-118.3780958,24,Licensed,8/28/07,,1,7-Aug,,3559
DAY CARE CENTER,"WONDER YEARS PRE-SCHOOL, THE",2457 SAWTELLE BLVD,n,"MANDELL, DEBBIE",LOS ANGELES,34.0338043,-118.4378341,57,Licensed,10/22/92,,1,Oct-92,,3590
DAY CARE CENTER,WOODCREST PRESCHOOL,28370 ROADSIDE,n,WOODCREST PRESCHOOL,AGOURA HILLS,34.1426141,-118.7452512,140,Licensed,4/15/96,,1,Apr-96,,3597
DAY CARE CENTER,WOODLAND SCHOOL HOUSE,21915 FIGUEROA STREET,,"WOODLAND SCHOOL HOUSE, LLC",CARSON,33.828567,-118.286402,21,Closed,6/23/14,4/1/15,2,14-Jun,15-Apr,3602
DAY CARE CENTER,WORLD OF JOY KINDERGARTEN AND PRESCHOOL,11215 STATE STREET,,WORLD OF JOY KINDERGARTEN AND PRESCHOOL,LYNWOOD,33.9291945,-118.2169104,47,Closed,1/13/11,11/8/14,2,11-Jan,14-Nov,3605
DAY CARE CENTER,YMCA GLB FIRST FRIENDSHIPS STATE PRESCHOOL,6650 ORANGE AVENUE,y,YMCA OF GREATER LONG BEACH,LONG BEACH,33.875779,-118.1768979,105,Licensed,6/4/10,,1,10-Jun,,3619
DAY CARE CENTER,YMCA GLB PACIFIC AVE STATE PRESCHOOL,3400 PACIFIC AVENUE,,YMCA GLB,LONG BEACH,33.8193937,-118.1932762,60,Closed,3/19/07,2/8/12,2,7-Mar,12-Feb,3621
DAY CARE CENTER,YMCA MONTEBELLO-COMMERCE PRESCHOOL & CHILD DEV.,2353 S. COMMERCE WAY,y,YMCA OF METROPOLITAN LOS ANGELES,COMMERCE,34.0043821,-118.1545336,116,Licensed,6/12/02,,1,2-Jun,,3625
SCHOOL AGE DAY CARE CENTER,YMCA OF GLB - LOS FLORES SITE,10039 EAST PALM STREET,n,YMCA OF GREATER LONG BEACH-LOS CERRITOS-LOS FLORES,BELLFLOWER,33.8771108,-118.1191295,114,Pending,,,4,,,4830
